,hamming_train_list,f1_macro_train_list,f1_micro_train_list,acc_train_list,hamming_test_list,f1_macro_test_list,f1_micro_test_list,acc_test_list,train_l_list
0,0.13589285714285715,0.41174528381411757,0.784845914616907,0.6078571428571429,0.145,0.39032008251350947,0.7695364238410596,0.5916666666666667,tensor(-15.6601)
1,0.13660714285714284,0.40767731253987227,0.783837242158802,0.6071428571428571,0.14458333333333334,0.3915708511422758,0.7703507610853739,0.5916666666666667,tensor(-15.6721)
2,0.13642857142857143,0.4105505930979869,0.7843026538678712,0.6078571428571429,0.14458333333333334,0.3915708511422758,0.7703507610853739,0.5916666666666667,tensor(-15.6787)
3,0.13625,0.41372709043889905,0.7845241457215475,0.6078571428571429,0.14458333333333334,0.3915708511422758,0.7703507610853739,0.5916666666666667,tensor(-15.6836)
4,0.13607142857142857,0.41833639684802987,0.7849887133182845,0.6092857142857143,0.145,0.3909535843165531,0.7698412698412698,0.5916666666666667,tensor(-15.6867)
5,0.13607142857142857,0.41747936387823203,0.7851099830795262,0.6092857142857143,0.14458333333333334,0.3959535843165531,0.7706543291473893,0.5933333333333334,tensor(-15.6890)
6,0.1357142857142857,0.42121658396331346,0.7856739988719685,0.61,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6906)
7,0.1357142857142857,0.42121658396331346,0.7856739988719685,0.61,0.14458333333333334,0.3959535843165531,0.7706543291473893,0.5933333333333334,tensor(-15.6916)
8,0.1355357142857143,0.4235135292628635,0.7860163518466311,0.6107142857142858,0.145,0.3953408898376876,0.7701453104359314,0.5933333333333334,tensor(-15.6924)
9,0.1357142857142857,0.42121658396331346,0.7856739988719685,0.61,0.145,0.3953408898376876,0.7701453104359314,0.5933333333333334,tensor(-15.6928)
10,0.13607142857142857,0.41747936387823203,0.7851099830795262,0.6092857142857143,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6935)
11,0.1357142857142857,0.42121658396331346,0.7856739988719685,0.61,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6939)
12,0.13589285714285715,0.42332734533040106,0.7854524950662533,0.61,0.145,0.3953408898376876,0.7701453104359314,0.5933333333333334,tensor(-15.6942)
13,0.1355357142857143,0.4235135292628635,0.7860163518466311,0.6107142857142858,0.145,0.3953408898376876,0.7701453104359314,0.5933333333333334,tensor(-15.6944)
14,0.1355357142857143,0.4235135292628635,0.7860163518466311,0.6107142857142858,0.145,0.3953408898376876,0.7701453104359314,0.5933333333333334,tensor(-15.6941)
15,0.13535714285714287,0.424072443223987,0.7863585118376548,0.6114285714285714,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6944)
16,0.13589285714285715,0.42332734533040106,0.7854524950662533,0.61,0.145,0.3953408898376876,0.7701453104359314,0.5933333333333334,tensor(-15.6945)
17,0.1357142857142857,0.42121658396331346,0.7856739988719685,0.61,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6943)
18,0.1355357142857143,0.4235135292628635,0.7860163518466311,0.6107142857142858,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6947)
19,0.1355357142857143,0.4235135292628635,0.7860163518466311,0.6107142857142858,0.14541666666666667,0.3903408898376876,0.7693324520819563,0.5916666666666667,tensor(-15.6948)
